site_id,survey_id,static_descriptors_reef_id (archived field),reef_name,country,region,year,date,depth (m),substrate_recorded_by,fish_recorded_by,inverts_recorded_by,team_leader,team_scientist
9367b97b-fbf6-46b7-bd1d-32637de839f3,e7da5330-dea6-4d9c-af58-f373e0064c5b,157.49.21.5W.21.16.9.8N,Waikiki Small Groin Transect 2,United States of America,Indo-Pacific,2008,28-March-08,1.5,"","","",Krista Heide Pierce,David Krupp
85098f77-d5b2-4b34-b18a-ca9752e246b2,e7f4ab36-42cb-454e-a6a9-0b01769e3c47,157.50.45.4W.21.33.0.9N,Kaaawa,United States of America,Indo-Pacific,2007,28-July-07,1.0,"","","",Krista Heide Pierce,Matt Dunlap
6927e049-0c3d-43d8-924b-7e463c8002fe,e92df460-a679-4cc2-b588-eca573944174,157.49.26.8W.21.16.8.0N,Waikiki MLCD/Waikiki Natatorium,United States of America,Indo-Pacific,2007,15-December-07,2.0,"","","",Matt Dunlap,Matt Dunlap
6dedb09a-f4e9-435d-9415-a2d0f7ba97d6,ea9fe6e3-9b67-409a-8619-2c91359543d2,156.26.0.21W.20.36.54.0N,Ahihi Cove,United States of America,Indo-Pacific,2008,31-August-08,6.0,"","","",Donna Brown,Donna Brown
1b591e67-c1d7-4bcd-98b8-9e38355a90a2,eb1896df-4f49-41a9-889b-121798a950b9,158.13.29.6W.21.28.39.9N,Makaha,United States of America,Indo-Pacific,2004,05-April-04,5.0,"","","",Christine Evans,Christine Evans
025290c9-a6aa-464f-878a-4345767df036,ebbb5ff5-ac28-451d-bca1-cba7b763a4dd,157.49.26.8W.21.16.11.1N,Waikiki Small Groin,United States of America,Indo-Pacific,2002,09-February-02,2.0,"","","",Gail Slawson,Michelle Eich
4e19ba1a-ec3c-432a-990e-cfba188440f0,ec106b68-2ee9-4e89-a07d-ab36f3c6d101,156.40.4.4W.21.0.1.3N,Kapalua Bay,United States of America,Indo-Pacific,1998,13-June-98,2.0,"","","","",""
1b591e67-c1d7-4bcd-98b8-9e38355a90a2,eeb535ce-0ad3-42ec-b6e1-655b6ced2039,158.13.29.6W.21.28.39.9N,Makaha,United States of America,Indo-Pacific,2003,11-October-03,2.0,"","","",Shaunti Kiehl,Matt Zimmerman
e09fb502-5ea6-4562-85bf-c39a51a9bbc6,eefeeac3-1df9-476b-b414-130809bcfeae,156.26.19.8W.20.41.17.4N,Ahihi Kinau,United States of America,Indo-Pacific,1999,22-May-99,10.0,"","","",Carl Stepath,""
2a482cd9-8d7b-4c2e-968f-639fed1e2838,ef2cec70-51b4-4cc0-88dd-3f59f9164f39,156.41.21.7W.20.53.3.6N,Jodo Mission (next to Mala Ramp),United States of America,Indo-Pacific,2010,11-April-10,3.5,"","","",Jill Quaintance,Jill Quaintance
5b3f65c9-6f68-4a6e-ac0a-711bd3573132,f0fba726-1d2b-4c79-8beb-f03588afd2ae,159.33.48.9W.22.13.18.1N,"Tunnels Beach, Makua",United States of America,Indo-Pacific,2008,16-August-08,1.5,"","","",Linda Kosen,Stephanie Krieger
66fab3b1-691b-446e-9e70-d6f774bf9f30,f45f5ab7-62c7-47b1-95b6-c20ff89d51bc,156.53.54.0W.20.44.0.0N,Hulopoe Bay,United States of America,Indo-Pacific,2004,08-March-04,5.0,"","","",Robin Newbold,Robin Newbold
a7fca3e5-a8d0-4e41-8f9c-49c2b869d280,f49c7312-281d-4c26-a747-6ebd6b437a0a,158.7.49.8W.21.21.12.1N,Electric Beach,United States of America,Indo-Pacific,2009,09-August-09,4.0,"","","",Krista Heide Pierce,Jeff Eble
fe40549a-4873-404c-80ec-3f8a912e8a8a,f78c3df3-d69d-40ef-868f-d36809fa1b23,156.36.39.6W.20.48.37.2N,Olowalu- Mile 14,United States of America,Indo-Pacific,2003,27-August-03,3.0,"","","",Robin Newbold,Robin Newbold
cb916b1e-a21e-4bb6-864c-0db8d62a11dd,f813eae1-832f-45d1-a8d3-22bfca6d7bd0,158.2.42.0W.21.40.30.0N,Sunset Beach (Val's Reef),United States of America,Indo-Pacific,2001,08-July-01,2.5,"","","",Michelle Eich,Christine Evans
025290c9-a6aa-464f-878a-4345767df036,fbdaa8f8-c390-4ba1-9861-930b24ff5e7d,157.49.26.8W.21.16.11.1N,Waikiki Small Groin,United States of America,Indo-Pacific,2002,09-February-02,1.0,"","","",Gail Slawson,Michelle Eich
70b768ca-d6e9-455d-b242-9c4c99575771,fbfce790-6d32-4c7e-abd8-5d7480148925,157.50.2.5W.21.16.24.1N,Turtle Canyon,United States of America,Indo-Pacific,2002,10-February-02,10.0,"","","",Katie Laing,Michelle Eich
